ID,Cluster_3
10350017,2
10350125,1
10350125,1
10350197,2
10350199,2
10350199,2
10350272,2
10360011,2
10360011,2
10360014,2
10360023,2
10360023,2
10360023,2
10360024,2
10360035,2
10360122,2
10360139,2
10360159,2
10360177,2
10360177,2
10360193,2
10360196,2
10360212,2
10360212,2
10360235,2
10360284,2
10360284,2
10360414,2
10360414,2
10360462,2
10360464,2
10360465,2
10360465,2
10360475,2
10360518,2
10360519,2
10360526,2
10360527,2
10360527,2
10360533,2
10360536,2
10360574,2
10360574,2
10360574,2
10360575,2
10360575,2
10360575,2
10540009,2
10540009,2
10540009,2
10540066,2
10540067,2
10540067,2
10540067,2
10540128,2
10540131,2
10540131,2
10540169,2
10540178,2
10540178,2
10540187,2
10540188,2
10540215,2
10540216,2
10540237,2
10540260,2
10540265,2
10540266,2
10540271,2
10540271,2
10540297,2
10540514,2
10540514,2
10540514,2
10540514,2
10540548,2
10540548,2
10540563,2
10540606,2
10540659,2
10540660,2
10540672,2
10540675,2
10540675,2
10540689,2
10540689,2
10540692,2
10540692,2
10540806,2
10540807,2
10541086,2
10541086,2
10980080,2
10980080,2
10980080,2
10980080,2
11460082,2
14050047,2
14050047,2
14050075,2
14050133,2
14050134,2
14050180,2
14050180,2
14050182,2
14050186,2
14050186,2
14050193,2
19130036,2
19130149,2
19130149,2
19130179,2
19130206,1
19130206,1
19130213,2
19130238,1
19130279,1
19130374,2
19130578,2
19130578,2
19130578,2
19130766,1
19130798,2
19130798,2
19130855,2
19130855,2
19610035,0
19610035,0
19610182,2
19610203,1
19650025,2
19650025,2
19650025,2
19650026,2
19650026,2
19650071,2
19650138,2
19650139,2
19650217,2
19650224,2
19650224,2
19650257,2
19650281,2
19650327,2
19650328,2
19650328,2
19650425,2
19650447,2
19650447,2
19650448,2
19650490,2
19650491,2
19650491,2
19650511,2
19650512,2
19650626,0
19650626,0
19650626,0
19650699,2
19650699,2
19650700,2
19730033,2
19730034,2
19730119,2
19730126,2
28000144,2
28000144,2
28000244,2
28000344,0
28000344,0
28000363,2
28000414,0
28000449,2
28000450,2
28000460,0
28000700,0
28000700,0
28000701,0
28240008,1
28240009,1
28240110,2
28240110,2
28240111,2
28240111,2
28240179,2
28240202,2
28240302,2
28240354,2
28240378,2
28240378,2
28240378,2
28240485,2
28240515,2
28240517,2
28240523,0
28240523,0
28240755,2
28240762,2
28240797,2
28240945,1
28240945,1
28240955,2
28240965,2
28240993,2
28240993,2
28240993,2
28240997,2
28241047,1
28241048,2
28241131,2
28241132,2
28420051,2
28420052,2
28420056,2
28420153,2
28420168,2
28420168,2
28640112,2
