ID,Cluster_4
10350017,0
10350125,2
10350125,2
10350197,2
10350199,2
10350199,2
10350272,2
10360011,2
10360011,1
10360014,2
10360023,2
10360023,2
10360023,2
10360024,2
10360035,2
10360122,2
10360139,2
10360159,2
10360177,2
10360177,2
10360193,2
10360196,2
10360212,2
10360212,2
10360235,2
10360284,2
10360284,2
10360414,2
10360414,2
10360462,2
10360464,2
10360465,2
10360465,2
10360475,2
10360518,2
10360519,1
10360526,2
10360527,2
10360527,2
10360533,1
10360536,2
10360574,2
10360574,2
10360574,2
10360575,2
10360575,2
10360575,2
10540009,2
10540009,2
10540009,2
10540066,2
10540067,2
10540067,2
10540067,2
10540128,2
10540131,2
10540131,2
10540169,2
10540178,2
10540178,2
10540187,2
10540188,2
10540215,2
10540216,2
10540237,2
10540260,2
10540265,2
10540266,2
10540271,2
10540271,2
10540297,1
10540514,2
10540514,2
10540514,2
10540514,2
10540548,2
10540548,2
10540563,1
10540606,2
10540659,2
10540660,2
10540672,2
10540675,2
10540675,2
10540689,2
10540689,2
10540692,2
10540692,2
10540806,2
10540807,2
10541086,2
10541086,2
10980080,2
10980080,2
10980080,2
10980080,2
11460082,2
14050047,2
14050047,2
14050075,2
14050133,1
14050134,2
14050180,2
14050180,2
14050182,2
14050186,2
14050186,2
14050193,2
19130036,2
19130149,2
19130149,2
19130179,3
19130206,2
19130206,2
19130213,1
19130238,2
19130279,1
19130374,1
19130578,2
19130578,2
19130578,2
19130766,3
19130798,2
19130798,2
19130855,2
19130855,2
19610035,0
19610035,0
19610182,2
19610203,1
19650025,2
19650025,2
19650025,2
19650026,2
19650026,2
19650071,2
19650138,2
19650139,2
19650217,2
19650224,2
19650224,2
19650257,2
19650281,0
19650327,2
19650328,2
19650328,2
19650425,2
19650447,2
19650447,2
19650448,2
19650490,2
19650491,2
19650491,2
19650511,2
19650512,2
19650626,0
19650626,0
19650626,0
19650699,2
19650699,2
19650700,2
19730033,2
19730034,1
19730119,2
19730126,2
28000144,2
28000144,2
28000244,2
28000344,0
28000344,0
28000363,2
28000414,0
28000449,1
28000450,2
28000460,1
28000700,0
28000700,0
28000701,0
28240008,2
28240009,3
28240110,2
28240110,2
28240111,2
28240111,2
28240179,1
28240202,1
28240302,2
28240354,2
28240378,2
28240378,2
28240378,2
28240485,2
28240515,0
28240517,2
28240523,0
28240523,0
28240755,2
28240762,2
28240797,1
28240945,3
28240945,3
28240955,2
28240965,2
28240993,2
28240993,2
28240993,2
28240997,2
28241047,3
28241048,2
28241131,1
28241132,2
28420051,2
28420052,2
28420056,1
28420153,2
28420168,1
28420168,2
28640112,2
28640121,2
28640121,2
28640121,2
28640122,2
28640122,2
28640182,2
30330035,0
30330069,3
30330149,3
30330179,3
30330301,3
30330302,3
30330355,0
30330370,0
30330409,0
30330485,0
30330486,0
30330558,0
30330558,0
30330565,0
30330569,0
30330629,3
30330632,3
30330674,3
30330674,3
30330693,3
30330770,0
30330778,0
30330798,0
30330798,0
30330821,0
30330852,0
30330875,0
30330879,3
30330986,0
30332010,1
30860007,3
30860007,3
30860017,0
30860033,3
30860061,1
30860095,0
30860142,3
30860145,3
30860227,3
30860227,3
30860239,2
30860249,0
30860250,0
30860310,0
30860391,0
30860394,0
30860495,0
30860533,3
30860533,1
30860539,0
30860539,0
30860539,0
30860650,1
30860708,1
30860737,1
30860762,3
30860762,3
30860804,3
30860804,3
31320005,3
31320005,1
31320060,3
31320097,0
31320098,1
31320316,3
31320455,3
31320656,0
31320685,3
31320757,1
31320758,3
31320760,0
31320760,0
31321173,0
31321431,3
31321589,3
31321590,3
32710154,0
39010095,3
39010096,3
39010115,3
39010116,3
39020001,2
39020001,2
39020134,1
39020209,0
39110281,3
39110409,3
39110438,0
39110449,2
39110450,0
39110605,1
39110675,0
39110675,0
39110815,0
39110969,0
39110970,0
39110987,3
39110987,3
39110995,0
39111355,0
39111355,0
39111356,0
39111360,0
39111360,0
39120015,0
39120016,3
39120197,0
39120198,1
39120245,0
39120246,0
39120424,0
39120458,0
39120509,0
39120519,2
39120519,2
39120559,3
39120999,0
42270059,3
42270059,3
42270059,3
42270059,3
42270163,3
42270192,3
42270209,1
42270214,0
42270214,0
42270228,3
42270228,1
42270350,3
42270350,3
42270540,3
42270610,3
42270851,0
42270878,3
42270907,0
42270907,0
42270995,0
42271067,3
42271092,3
42271144,3
42271192,0
42271271,3
42271271,3
42271271,3
42271337,1
42271395,0
42271423,3
42280033,3
42280033,3
42280033,3
42280034,3
42280034,3
42280034,3
42280110,0
42280200,3
42280200,3
42280523,3
42280588,0
42340221,3
42340325,3
42340373,3
42340423,1
44630037,1
44630038,3
44630160,3
44630160,3
